step,s,i1,i2,r
215,0,344,304,352
216,0,356,309,335
217,0,327,325,348
218,0,332,331,337
219,0,339,319,342
220,0,342,324,334
221,0,317,314,369
222,0,329,353,318
223,0,330,359,311
224,0,328,354,318
225,0,323,345,332
226,0,317,323,360
227,0,336,347,317
228,0,324,351,325
229,0,336,343,321
230,0,331,324,345
231,0,334,331,335
232,0,340,308,352
233,0,329,316,355
234,0,343,306,351
235,0,336,327,337
236,0,345,322,333
237,0,320,351,329
238,0,312,332,356
239,0,304,372,324
240,0,288,384,328
241,0,303,364,333
242,0,284,367,349
243,0,289,362,349
244,0,309,350,341
245,0,311,328,361
246,0,325,340,335
247,0,322,333,345
248,0,323,346,331
249,0,313,345,342
250,0,310,333,357
251,0,302,346,352
252,0,300,371,329
253,0,285,404,311
254,0,299,359,342
255,0,299,368,333
256,0,304,339,357
257,0,304,319,377
258,0,330,324,346
259,0,340,312,348
260,0,349,318,333
261,0,325,290,385
262,0,361,292,347
263,0,362,282,356
264,0,377,297,326
265,0,370,299,331
266,0,366,309,325
267,0,359,309,332
268,0,370,281,349
269,0,370,294,336
270,0,378,298,324
271,0,371,288,341
272,0,371,302,327
273,0,348,302,350
274,0,374,309,317
275,0,366,298,336
276,0,356,308,336
277,0,344,301,355
278,0,351,281,368
279,0,390,281,329
280,0,375,284,341
281,0,374,292,334
282,0,396,283,321
283,0,400,300,300
284,0,365,301,334
285,0,365,303,332
286,0,353,301,346
287,0,352,281,367
288,0,365,314,321
289,0,397,298,305
290,0,374,292,334
291,0,348,300,352
292,0,356,310,334
293,0,364,315,321
294,0,349,318,333
295,0,332,321,347
296,0,338,305,357
297,0,343,327,330
298,0,341,311,348
299,0,343,309,348
300,0,332,322,346
