step,s,i,r
0,900,100,0
1,896,97,7
2,895,91,14
3,891,93,16
4,889,88,23
5,886,90,24
6,884,86,30
7,881,84,35
8,875,88,37
9,873,86,41
10,870,84,46
11,864,84,52
12,862,84,54
13,857,87,56
14,854,85,61
15,847,89,64
16,845,85,70
17,843,82,75
18,842,77,81
19,841,76,83
20,838,76,86
21,833,76,91
22,829,77,94
23,828,75,97
24,827,71,102
25,825,65,110
26,824,64,112
27,823,63,114
28,822,62,116
29,820,64,116
30,819,61,120
31,818,59,123
32,815,59,126
33,813,59,128
34,812,55,133
35,809,54,137
36,808,52,140
37,806,53,141
38,806,50,144
39,803,52,145
40,799,52,149
41,797,46,157
42,796,46,158
43,796,44,160
44,796,40,164
45,794,39,167
46,793,38,169
47,793,37,170
48,793,34,173
49,792,33,175
50,791,33,176
51,791,33,176
52,790,32,178
53,789,33,178
54,789,32,179
55,789,30,181
56,788,31,181
57,788,30,182
58,788,30,182
59,788,30,182
60,788,27,185
61,786,26,188
62,786,25,189
63,785,25,190
64,785,24,191
65,784,24,192
66,783,25,192
67,782,24,194
68,781,23,196
69,780,24,196
70,780,21,199
71,780,20,200
72,779,18,203
73,778,18,204
74,778,18,204
75,776,20,204
76,776,20,204
77,776,18,206
78,775,18,207
79,774,19,207
80,774,19,207
81,773,19,208
82,773,18,209
83,772,17,211
84,769,19,212
85,768,20,212
86,768,17,215
87,768,15,217
88,767,15,218
89,766,13,221
90,766,12,222
91,766,11,223
92,765,10,225
93,764,11,225
94,764,11,225
95,764,11,225
96,763,12,225
97,762,12,226
98,762,11,227
99,762,11,227
100,762,11,227
101,762,11,227
102,762,11,227
103,762,10,228
104,762,9,229
105,762,8,230
106,761,8,231
107,761,8,231
108,761,8,231
109,761,6,233
110,761,5,234
111,761,5,234
112,761,4,235
113,761,4,235
114,761,4,235
115,761,3,236
116,761,3,236
117,761,3,236
118,761,3,236
119,761,3,236
120,761,3,236
121,761,2,237
122,761,1,238
123,761,1,238
124,761,1,238
125,761,1,238
126,761,1,238
127,761,0,239
