step,s,i,r
0,900,100,0
1,852,137,11
2,795,187,18
3,726,245,29
4,657,296,47
5,569,377,54
6,489,438,73
7,417,485,98
8,353,528,119
9,293,553,154
10,240,575,185
11,188,587,225
12,154,588,258
13,121,596,283
14,94,587,319
15,73,580,347
16,58,565,377
17,40,558,402
18,28,535,437
19,26,511,463
20,26,484,490
21,21,459,520
22,16,450,534
23,14,428,558
24,11,416,573
25,8,392,600
26,8,372,620
27,7,359,634
28,5,354,641
29,4,340,656
30,4,326,670
31,3,316,681
32,3,306,691
33,3,285,712
34,2,269,729
35,2,256,742
36,2,238,760
37,2,229,769
38,2,217,781
39,2,209,789
40,1,199,800
41,1,184,815
42,1,176,823
43,1,164,835
44,1,157,842
45,1,152,847
46,1,141,858
47,1,133,866
48,1,124,875
49,1,118,881
50,1,114,885
51,1,106,893
52,1,101,898
53,1,95,904
54,1,90,909
55,1,86,913
56,1,85,914
57,1,80,919
58,1,75,924
59,1,71,928
60,1,68,931
61,1,64,935
62,1,62,937
63,1,59,940
64,1,57,942
65,1,55,944
66,1,48,951
67,1,47,952
68,1,45,954
69,1,44,955
70,1,43,956
71,1,41,958
72,1,38,961
73,1,38,961
74,1,38,961
75,1,33,966
76,1,33,966
77,1,32,967
78,1,31,968
79,1,30,969
80,1,30,969
81,1,28,971
82,1,28,971
83,1,26,973
84,1,26,973
85,1,26,973
86,1,25,974
87,1,25,974
88,1,24,975
89,1,23,976
90,1,22,977
91,1,19,980
92,1,19,980
93,1,19,980
94,1,19,980
95,1,16,983
96,1,16,983
97,1,15,984
98,1,14,985
99,1,14,985
100,1,13,986
101,1,12,987
102,1,12,987
103,1,12,987
104,1,12,987
105,1,12,987
106,1,12,987
107,1,11,988
108,1,10,989
109,1,10,989
110,1,10,989
111,1,10,989
112,1,10,989
113,1,10,989
114,1,9,990
115,1,9,990
116,1,8,991
117,1,7,992
118,1,5,994
119,1,4,995
120,1,4,995
121,1,4,995
122,1,4,995
123,1,4,995
124,1,3,996
125,1,3,996
126,1,3,996
127,1,3,996
128,1,3,996
129,1,2,997
130,1,2,997
131,1,2,997
132,1,2,997
133,1,1,998
134,1,1,998
135,1,1,998
136,1,0,999
