step,s,i,r
0,900,100,0
1,880,118,2
2,861,130,9
3,847,140,13
4,836,146,18
5,820,147,33
6,812,148,40
7,797,156,47
8,783,164,53
9,771,171,58
10,756,179,65
11,732,194,74
12,720,197,83
13,715,195,90
14,698,204,98
15,686,202,112
16,677,209,114
17,671,209,120
18,663,209,128
19,651,212,137
20,634,215,151
21,615,226,159
22,605,225,170
23,594,233,173
24,585,229,186
25,567,238,195
26,552,240,208
27,543,239,218
28,533,240,227
29,520,239,241
30,506,238,256
31,495,233,272
32,485,232,283
33,479,222,299
34,468,224,308
35,452,230,318
36,446,221,333
37,436,216,348
38,425,218,357
39,413,222,365
40,404,216,380
41,398,208,394
42,388,207,405
43,377,210,413
44,368,208,424
45,361,208,431
46,357,201,442
47,354,194,452
48,340,199,461
49,333,196,471
50,322,200,478
51,317,187,496
52,313,180,507
53,307,179,514
54,300,174,526
55,290,181,529
56,289,173,538
57,280,167,553
58,276,166,558
59,274,162,564
60,273,160,567
61,268,158,574
62,267,149,584
63,265,145,590
64,264,137,599
65,263,136,601
66,258,131,611
67,255,126,619
68,251,122,627
69,249,121,630
70,248,119,633
71,246,117,637
72,244,110,646
73,241,108,651
74,237,107,656
75,235,101,664
76,232,100,668
77,228,99,673
78,226,99,675
79,224,96,680
80,224,86,690
81,222,82,696
82,221,81,698
83,217,83,700
84,214,84,702
85,211,83,706
86,211,76,713
87,210,76,714
88,210,71,719
89,208,69,723
90,205,70,725
91,205,68,727
92,204,62,734
93,203,63,734
94,199,63,738
95,198,59,743
96,196,60,744
97,196,59,745
98,194,60,746
99,192,58,750
100,192,54,754
101,191,52,757
102,189,49,762
103,188,49,763
104,186,48,766
105,185,46,769
106,184,45,771
107,182,42,776
108,181,41,778
109,180,42,778
110,180,39,781
111,179,40,781
112,179,37,784
113,179,34,787
114,179,31,790
115,178,30,792
116,178,30,792
117,178,28,794
118,178,26,796
119,177,26,797
120,177,25,798
121,177,24,799
122,177,22,801
123,177,20,803
124,176,20,804
125,175,19,806
126,175,18,807
127,175,16,809
128,175,15,810
129,175,15,810
130,175,15,810
131,175,15,810
132,175,15,810
133,175,14,811
134,175,14,811
135,175,12,813
136,175,11,814
137,175,11,814
138,174,12,814
139,174,12,814
140,174,11,815
141,174,10,816
142,174,10,816
143,174,10,816
144,174,9,817
145,174,8,818
146,174,8,818
147,174,8,818
148,173,9,818
149,173,9,818
150,173,9,818
151,172,10,818
152,172,10,818
153,172,10,818
154,172,10,818
155,171,11,818
156,171,11,818
157,171,11,818
158,171,10,819
159,171,10,819
160,171,9,820
161,171,9,820
162,171,8,821
163,171,8,821
164,171,8,821
165,171,7,822
166,171,7,822
167,171,7,822
168,171,6,823
169,171,6,823
170,171,5,824
171,171,5,824
172,171,4,825
173,171,4,825
174,171,4,825
175,171,4,825
176,171,4,825
177,171,4,825
178,170,5,825
179,170,5,825
180,170,5,825
181,170,5,825
182,170,5,825
183,170,5,825
184,170,5,825
185,170,5,825
186,170,4,826
187,170,4,826
188,170,4,826
189,169,5,826
190,169,5,826
191,169,5,826
192,169,5,826
193,169,5,826
194,169,5,826
195,169,5,826
196,169,4,827
197,169,4,827
198,168,5,827
199,168,5,827
200,168,5,827
201,168,5,827
202,168,5,827
203,168,5,827
204,168,5,827
205,168,5,827
206,168,5,827
207,168,5,827
208,168,5,827
209,168,5,827
210,168,5,827
211,168,4,828
212,168,3,829
213,168,3,829
214,168,3,829
215,168,3,829
216,168,3,829
217,168,3,829
218,168,3,829
219,168,3,829
220,168,3,829
221,168,3,829
222,168,3,829
223,168,3,829
224,168,3,829
225,168,3,829
226,168,3,829
227,168,3,829
228,167,3,830
229,167,3,830
230,167,3,830
231,167,3,830
232,167,2,831
233,167,2,831
234,167,2,831
235,167,1,832
236,167,1,832
237,167,1,832
238,167,1,832
239,167,0,833
