step,s,i1,i2,r
0,900,50,50,0
1,822,57,72,49
2,737,65,93,105
3,651,77,114,158
4,579,82,129,210
5,491,87,150,272
6,396,115,181,308
7,330,113,194,363
8,241,143,217,399
9,193,125,253,429
10,137,133,271,459
11,102,140,238,520
12,81,136,251,532
13,60,139,241,560
14,48,156,237,559
15,33,157,241,569
16,20,153,226,601
17,13,169,230,588
18,9,164,229,598
19,5,174,227,594
20,4,181,237,578
21,2,187,227,584
22,1,185,240,574
23,1,187,234,578
24,1,176,250,573
25,1,189,241,569
26,0,200,236,564
27,0,203,249,548
28,0,197,246,557
29,0,195,261,544
30,0,215,243,542
31,0,192,237,571
32,0,190,241,569
33,0,202,226,572
34,0,206,225,569
35,0,215,220,565
36,0,224,219,557
37,0,215,221,564
38,0,191,224,585
39,0,170,235,595
40,0,182,242,576
41,0,169,254,577
42,0,175,257,568
43,0,195,264,541
44,0,190,255,555
45,0,176,241,583
46,0,181,230,589
47,0,151,242,607
48,0,153,267,580
49,0,178,259,563
50,0,186,273,541
51,0,184,273,543
52,0,176,264,560
53,0,176,257,567
54,0,170,252,578
55,0,175,261,564
56,0,177,258,565
57,0,170,260,570
58,0,178,247,575
59,0,175,234,591
60,0,172,239,589
61,0,193,230,577
62,0,178,230,592
63,0,179,235,586
64,0,196,242,562
65,0,207,241,552
66,0,205,231,564
67,0,202,234,564
68,0,200,251,549
69,0,202,245,553
70,0,185,237,578
71,0,173,260,567
72,0,177,247,576
73,0,180,239,581
74,0,196,247,557
75,0,215,229,556
76,0,189,221,590
77,0,208,222,570
78,0,205,225,570
79,0,206,219,575
80,0,189,228,583
81,0,186,235,579
82,0,181,260,559
83,0,173,246,581
84,0,151,234,615
85,0,150,224,626
86,0,146,238,616
87,0,167,211,622
88,0,187,211,602
89,0,195,241,564
90,0,175,257,568
91,0,179,272,549
92,0,189,233,578
93,0,212,257,531
94,0,217,248,535
95,0,224,243,533
96,0,213,259,528
97,0,192,241,567
98,0,180,223,597
99,0,182,223,595
100,0,198,235,567
101,0,203,204,593
102,0,216,212,572
103,0,227,220,553
104,0,237,216,547
105,0,236,213,551
106,0,228,199,573
107,0,222,200,578
108,0,214,208,578
109,0,206,210,584
110,0,209,195,596
111,0,234,195,571
112,0,233,185,582
113,0,247,199,554
114,0,248,202,550
115,0,250,197,553
116,0,236,194,570
117,0,241,206,553
118,0,229,196,575
119,0,224,210,566
120,0,199,196,605
121,0,204,195,601
122,0,199,201,600
123,0,208,189,603
124,0,216,200,584
125,0,240,200,560
126,0,254,209,537
127,0,233,215,552
128,0,217,207,576
129,0,224,209,567
130,0,223,202,575
131,0,205,191,604
132,0,212,188,600
133,0,238,192,570
134,0,232,200,568
135,0,229,195,576
136,0,230,184,586
