step,s,i1,i2,r
137,0,245,179,576
138,0,240,196,564
139,0,254,193,553
140,0,240,200,560
141,0,229,189,582
142,0,232,190,578
143,0,255,182,563
144,0,265,183,552
145,0,270,171,559
146,0,249,184,567
147,0,241,179,580
148,0,242,180,578
149,0,234,175,591
150,0,217,200,583
151,0,239,198,563
152,0,285,202,513
153,0,282,186,532
154,0,258,182,560
155,0,257,151,592
156,0,280,166,554
157,0,269,143,588
158,0,271,168,561
159,0,280,184,536
160,0,274,172,554
161,0,243,175,582
162,0,252,205,543
163,0,238,212,550
164,0,246,239,515
165,0,246,204,550
166,0,226,209,565
167,0,224,220,556
168,0,225,214,561
169,0,215,232,553
170,0,206,217,577
171,0,205,223,572
172,0,199,229,572
173,0,199,234,567
174,0,195,236,569
175,0,206,220,574
176,0,210,230,560
177,0,212,219,569
178,0,217,215,568
179,0,209,212,579
180,0,196,215,589
181,0,195,207,598
182,0,183,199,618
183,0,182,190,628
184,0,188,197,615
185,0,205,208,587
186,0,199,219,582
187,0,215,213,572
188,0,217,217,566
189,0,215,207,578
190,0,195,197,608
191,0,211,216,573
192,0,220,215,565
193,0,227,215,558
194,0,217,185,598
195,0,207,174,619
196,0,234,176,590
197,0,236,156,608
198,0,225,172,603
199,0,221,157,622
200,0,241,164,595
201,0,265,162,573
202,0,234,161,605
203,0,246,157,597
204,0,269,157,574
205,0,278,138,584
206,0,269,132,599
207,0,291,129,580
208,0,296,126,578
209,0,282,135,583
210,0,266,146,588
211,0,291,127,582
212,0,272,143,585
213,0,290,144,566
214,0,272,144,584
215,0,281,143,576
216,0,278,140,582
217,0,281,137,582
218,0,299,147,554
219,0,288,151,561
220,0,287,142,571
221,0,263,153,584
222,0,267,144,589
223,0,245,139,616
224,0,272,131,597
225,0,308,135,557
226,0,296,132,572
227,0,311,126,563
228,0,294,145,561
229,0,287,147,566
230,0,280,125,595
231,0,287,132,581
232,0,294,139,567
233,0,283,131,586
234,0,278,127,595
235,0,278,138,584
236,0,273,142,585
237,0,259,135,606
238,0,257,140,603
239,0,260,147,593
240,0,257,157,586
241,0,289,138,573
242,0,265,167,568
243,0,248,174,578
244,0,266,164,570
245,0,276,163,561
246,0,254,181,565
247,0,233,174,593
248,0,229,195,576
249,0,242,206,552
250,0,245,217,538
251,0,243,206,551
252,0,204,216,580
253,0,201,216,583
254,0,216,228,556
255,0,203,219,578
256,0,199,206,595
257,0,206,226,568
258,0,213,240,547
259,0,176,236,588
260,0,165,258,577
261,0,169,247,584
262,0,158,258,584
263,0,153,252,595
264,0,159,261,580
265,0,157,276,567
266,0,146,300,554
267,0,151,272,577
268,0,147,288,565
269,0,130,278,592
270,0,124,299,577
271,0,114,286,600
272,0,107,280,613
273,0,115,293,592
274,0,123,296,581
275,0,120,299,581
276,0,133,275,592
277,0,142,268,590
278,0,137,285,578
279,0,152,264,584
280,0,137,272,591
281,0,141,285,574
282,0,145,298,557
283,0,154,273,573
284,0,163,275,562
285,0,151,272,577
286,0,150,274,576
287,0,140,279,581
288,0,128,280,592
289,0,108,299,593
290,0,113,304,583
291,0,119,317,564
292,0,130,305,565
293,0,140,323,537
294,0,143,287,570
295,0,137,263,600
296,0,132,279,589
297,0,151,287,562
298,0,138,289,573
299,0,153,246,601
300,0,166,240,594
