step,s,i,r
0,900,100,0
1,889,106,5
2,877,108,15
3,866,112,22
4,852,111,37
5,845,108,47
6,838,103,59
7,830,105,65
8,823,102,75
9,815,102,83
10,808,96,96
11,800,96,104
12,796,91,113
13,790,91,119
14,784,86,130
15,781,83,136
16,776,79,145
17,771,74,155
18,765,73,162
19,758,70,172
20,753,72,175
21,749,65,186
22,744,67,189
23,743,60,197
24,738,54,208
25,738,48,214
26,735,50,215
27,733,47,220
28,731,40,229
29,731,32,237
30,731,30,239
31,729,31,240
32,728,28,244
33,725,26,249
34,723,26,251
35,722,23,255
36,721,24,255
37,719,23,258
38,717,22,261
39,715,21,264
40,714,19,267
41,712,20,268
42,710,21,269
43,709,22,269
44,707,21,272
45,705,21,274
46,704,20,276
47,703,21,276
48,701,21,278
49,699,21,280
50,696,24,280
51,694,23,283
52,694,22,284
53,692,21,287
54,691,21,288
55,689,21,290
56,686,22,292
57,686,18,296
58,684,18,298
59,684,16,300
60,684,16,300
61,684,15,301
62,682,15,303
63,681,16,303
64,681,15,304
65,681,11,308
66,681,11,308
67,680,12,308
68,679,12,309
69,679,11,310
70,679,10,311
71,678,11,311
72,678,11,311
73,678,9,313
74,677,8,315
75,676,9,315
76,675,9,316
77,675,7,318
78,675,7,318
79,674,7,319
80,673,8,319
81,673,8,319
82,673,6,321
83,673,6,321
84,673,6,321
85,673,5,322
86,673,5,322
87,673,4,323
88,673,4,323
89,673,3,324
90,673,3,324
91,672,4,324
92,672,4,324
93,672,3,325
94,672,2,326
95,672,2,326
96,672,0,328
