step,s,i,r
0,900,100,0
1,894,102,4
2,893,100,7
3,890,98,12
4,890,91,19
5,888,87,25
6,886,82,32
7,885,81,34
8,884,78,38
9,883,79,38
10,883,77,40
11,883,75,42
12,882,75,43
13,880,73,47
14,879,70,51
15,877,68,55
16,876,66,58
17,872,67,61
18,872,65,63
19,871,61,68
20,871,58,71
21,869,54,77
22,868,52,80
23,866,52,82
24,865,52,83
25,865,48,87
26,864,49,87
27,864,48,88
28,864,42,94
29,864,40,96
30,864,40,96
31,864,37,99
32,864,35,101
33,864,33,103
34,862,35,103
35,862,35,103
36,861,35,104
37,861,32,107
38,861,32,107
39,861,31,108
40,861,30,109
41,860,28,112
42,860,28,112
43,860,27,113
44,860,26,114
45,860,25,115
46,858,26,116
47,858,25,117
48,858,24,118
49,857,24,119
50,855,24,121
51,855,23,122
52,854,22,124
53,854,21,125
54,854,20,126
55,853,21,126
56,853,19,128
57,853,18,129
58,853,18,129
59,852,17,131
60,852,17,131
61,852,15,133
62,852,13,135
63,852,13,135
64,852,11,137
65,851,11,138
66,851,11,138
67,851,11,138
68,851,11,138
69,850,11,139
70,850,10,140
71,850,10,140
72,850,9,141
73,850,8,142
74,850,7,143
75,850,7,143
76,850,7,143
77,850,7,143
78,849,8,143
79,849,8,143
80,849,8,143
81,849,8,143
82,849,8,143
83,849,8,143
84,849,7,144
85,849,7,144
86,849,7,144
87,849,7,144
88,849,7,144
89,849,7,144
90,849,7,144
91,849,7,144
92,849,6,145
93,849,5,146
94,849,5,146
95,849,5,146
96,849,5,146
97,849,5,146
98,849,5,146
99,849,5,146
100,849,5,146
101,849,4,147
102,849,3,148
103,849,3,148
104,849,3,148
105,849,3,148
106,849,3,148
107,849,3,148
108,849,3,148
109,849,3,148
110,849,3,148
111,849,3,148
112,849,3,148
113,849,3,148
114,849,3,148
115,849,3,148
116,849,3,148
117,849,3,148
118,849,2,149
119,849,2,149
120,849,2,149
121,848,3,149
122,848,3,149
123,848,3,149
124,848,3,149
125,848,3,149
126,848,3,149
127,848,3,149
128,848,3,149
129,848,3,149
130,848,3,149
131,848,3,149
132,848,3,149
133,848,3,149
134,848,3,149
135,848,3,149
136,848,3,149
137,848,3,149
138,848,3,149
139,848,3,149
140,848,3,149
141,848,3,149
142,848,3,149
143,848,3,149
144,848,3,149
145,848,3,149
146,848,3,149
147,848,3,149
148,848,3,149
149,848,3,149
150,848,3,149
151,848,3,149
152,848,3,149
153,848,2,150
154,848,2,150
155,848,2,150
156,848,2,150
157,848,2,150
158,848,2,150
159,848,2,150
160,848,2,150
161,848,2,150
162,848,2,150
163,848,2,150
164,848,2,150
165,848,2,150
166,848,2,150
167,848,2,150
168,848,2,150
169,848,1,151
170,848,1,151
171,848,1,151
172,848,1,151
173,848,1,151
174,848,1,151
175,848,1,151
176,848,1,151
177,848,1,151
178,848,1,151
179,848,1,151
180,848,1,151
181,848,1,151
182,848,1,151
183,848,1,151
184,848,1,151
185,848,1,151
186,848,1,151
187,848,1,151
188,848,1,151
189,848,1,151
190,848,1,151
191,848,1,151
192,848,1,151
193,848,1,151
194,848,1,151
195,848,1,151
196,848,1,151
197,848,1,151
198,848,1,151
199,848,1,151
200,848,1,151
201,848,1,151
202,848,0,152
